business_id,monthly_cash_flow_sar,business_age_months
BIZ-000001,29873.2,134
BIZ-000002,7785.48,74
BIZ-000003,46651.07,26
BIZ-000004,56419.19,104
BIZ-000005,3130.55,63
BIZ-000006,5989.84,133
BIZ-000007,25030.25,191
BIZ-000008,16054.71,133
BIZ-000009,21659.49,140
BIZ-000010,9385.83,11
BIZ-000011,53071.64,155
BIZ-000012,47944.14,106
BIZ-000013,23529.98,30
BIZ-000014,67998.52,52
BIZ-000015,35154.55,187
BIZ-000016,9327.36,220
BIZ-000017,31848.67,122
BIZ-000018,8443.21,234
BIZ-000019,53021.37,44
BIZ-000020,20953.77,72
BIZ-000021,18308.81,223
BIZ-000022,11148.61,42
BIZ-000023,74797.62,158
BIZ-000024,18872.68,53
BIZ-000025,14352.4,80
BIZ-000026,15488.71,115
BIZ-000027,37507.99,87
BIZ-000028,31743.53,210
BIZ-000029,33280.69,233
BIZ-000030,33888.16,120
BIZ-000031,187521.28,126
BIZ-000032,14670.37,14
BIZ-000033,13197.16,56
BIZ-000034,9761.75,10
BIZ-000035,40781.32,205
BIZ-000036,68116.33,55
BIZ-000037,19654.32,82
BIZ-000038,9507.57,202
BIZ-000039,9657.78,171
BIZ-000040,42217.61,149
BIZ-000041,46316.53,10
BIZ-000042,37916.98,135
BIZ-000043,11321.86,135
BIZ-000044,27782.49,77
BIZ-000045,24752.6,179
BIZ-000046,27410.7,223
BIZ-000047,52650.38,62
BIZ-000048,27545.53,80
BIZ-000049,43430.34,78
BIZ-000050,23566.44,200
BIZ-000051,29410.86,19
BIZ-000052,41410.44,215
BIZ-000053,5129.91,186
BIZ-000054,15999.76,116
BIZ-000055,13761.46,140
BIZ-000056,11627.43,214
BIZ-000057,16728.31,184
BIZ-000058,98217.66,67
BIZ-000059,9266.57,13
BIZ-000060,58004.64,158
BIZ-000061,4093.4,35
BIZ-000062,15758.18,22
BIZ-000063,25919.56,235
BIZ-000064,39585.66,114
BIZ-000065,44856.63,156
BIZ-000066,48695.76,52
BIZ-000067,15541.59,25
BIZ-000068,13872.28,16
BIZ-000069,51946.83,85
BIZ-000070,18191.24,1
BIZ-000071,6150.65,101
BIZ-000072,7091.93,78
